"category_name","employee_full_name","employee_title","total_sale_amount_excluding_discount","total_number_unique_orders","total_number_orders","average_product_amount_excluding_discount","average_order_amount_exclusing_discount","total_discount_amount","total_sale_amount_including_discount","total_discount_percentage"
Beverages,Margaret Peacock,Sales Representative,  50308.21,65,75,    670.78,    773.97,   2534.14,  52842.35,  4.80
Beverages,Nancy Davolio,Sales Representative,  46599.35,53,60,    776.66,    879.23,   2232.65,  48832.00,  4.57
Beverages,Janet Leverling,Sales Representative,  44757.40,55,63,    710.43,    813.77,   1749.15,  46506.55,  3.76
Beverages,Andrew Fuller,"Vice President, Sales",  40248.25,35,45,    894.41,   1149.95,   1781.15,  42029.40,  4.24
Dairy Products,Nancy Davolio,Sales Representative,  36022.98,51,65,    554.20,    706.33,   1989.82,  38012.80,  5.23
Dairy Products,Margaret Peacock,Sales Representative,  33549.80,48,54,    621.29,    698.95,   3497.80,  37047.60,  9.44
Confections,Janet Leverling,Sales Representative,  33622.40,46,52,    646.58,    730.92,   1236.91,  34859.31,  3.55
Dairy Products,Janet Leverling,Sales Representative,  32320.83,41,51,    633.74,    788.31,   2225.47,  34546.30,  6.44
Meat/Poultry,Margaret Peacock,Sales Representative,  30867.14,31,35,    881.92,    995.71,   3312.08,  34179.22,  9.69
Beverages,Robert King,Sales Representative,  27963.83,34,36,    776.77,    822.47,   5553.17,  33517.00, 16.57
Meat/Poultry,Andrew Fuller,"Vice President, Sales",  29873.60,25,26,   1148.98,   1194.94,   3099.91,  32973.51,  9.40
Dairy Products,Robert King,Sales Representative,  27621.86,26,31,    891.03,   1062.38,   2959.64,  30581.50,  9.68
Confections,Nancy Davolio,Sales Representative,  28568.92,50,56,    510.16,    571.38,   1774.62,  30343.54,  5.85
Confections,Margaret Peacock,Sales Representative,  27768.73,63,71,    391.11,    440.77,   1774.34,  29543.06,  6.01
Seafood,Margaret Peacock,Sales Representative,  27315.93,61,69,    395.88,    447.80,   1725.74,  29041.67,  5.94
Seafood,Janet Leverling,Sales Representative,  25032.09,47,54,    463.56,    532.60,   2459.90,  27491.99,  8.95
Dairy Products,Andrew Fuller,"Vice President, Sales",  23812.55,31,36,    661.46,    768.15,   1782.15,  25594.70,  6.96
Condiments,Margaret Peacock,Sales Representative,  23314.87,41,45,    518.11,    568.66,   1927.58,  25242.45,  7.64
Seafood,Nancy Davolio,Sales Representative,  24144.15,47,59,    409.22,    513.71,    802.90,  24947.05,  3.22
Meat/Poultry,Robert King,Sales Representative,  21176.72,14,15,   1411.78,   1512.62,   3762.53,  24939.24, 15.09
